close,epoch,high,low,open
1029.26,1768498920.0,1030.26,1029.04,1030.26
1028.23,1768498980.0,1029.44,1026.79,1029.44
1028.22,1768499040.0,1029.87,1028.01,1028.53
1030.44,1768499100.0,1030.58,1028.02,1028.28
1033.26,1768499160.0,1033.26,1030.68,1030.68
1033.17,1768499220.0,1033.58,1032.37,1033.23
1033.49,1768499280.0,1034.37,1032.47,1033.44
1031.64,1768499340.0,1035.05,1031.6,1033.25
1031.15,1768499400.0,1031.55,1029.98,1031.55
1032.43,1768499460.0,1032.43,1030.85,1030.98
1033.33,1768499520.0,1034.09,1032.57,1032.78
1033.28,1768499580.0,1034.09,1032.37,1033.12
1032.15,1768499640.0,1033.41,1031.21,1033.27
1030.46,1768499700.0,1031.88,1029.47,1031.67
1031.42,1768499760.0,1031.81,1029.95,1030.17
1030.63,1768499820.0,1032.11,1029.91,1031.55
1032.93,1768499880.0,1032.93,1030.55,1030.57
1034.39,1768499940.0,1034.49,1031.6,1033.01
1034.87,1768500000.0,1035.19,1033.79,1034.2
1034.18,1768500060.0,1035.05,1033.97,1034.79
1032.98,1768500120.0,1034.67,1031.96,1034.11
1033.55,1768500180.0,1034.28,1033.0,1033.17
1031.46,1768500240.0,1033.68,1031.46,1033.34
1030.16,1768500300.0,1031.34,1029.83,1031.22
1030.24,1768500360.0,1031.28,1030.24,1030.32
1029.39,1768500420.0,1031.19,1029.39,1030.11
1028.1,1768500480.0,1030.64,1028.05,1029.32
1029.6,1768500540.0,1030.18,1027.56,1027.91
1031.27,1768500600.0,1031.27,1029.43,1029.7
1031.66,1768500660.0,1032.24,1030.83,1031.09
1033.39,1768500720.0,1034.02,1031.05,1031.44
1034.68,1768500780.0,1034.68,1032.48,1033.1
1034.26,1768500840.0,1035.38,1033.66,1034.49
1035.74,1768500900.0,1035.74,1034.14,1034.32
1035.36,1768500960.0,1036.84,1035.36,1035.97
1035.41,1768501020.0,1036.13,1034.91,1035.34
1032.1,1768501080.0,1035.43,1032.06,1035.43
1031.67,1768501140.0,1033.17,1031.67,1032.13
1032.45,1768501200.0,1033.58,1031.31,1031.5
1033.55,1768501260.0,1033.55,1031.69,1032.52
1033.61,1768501320.0,1034.35,1032.98,1033.91
1032.63,1768501380.0,1034.14,1032.35,1033.48
1034.27,1768501440.0,1034.27,1032.63,1032.97
1034.24,1768501500.0,1034.7,1034.03,1034.17
1034.42,1768501560.0,1034.87,1033.31,1034.67
1036.86,1768501620.0,1037.43,1034.39,1034.39
1034.27,1768501680.0,1037.01,1034.27,1036.68
1034.23,1768501740.0,1034.81,1033.5,1033.81
1036.81,1768501800.0,1036.93,1034.19,1034.49
1039.78,1768501860.0,1039.99,1036.48,1036.86
1038.31,1768501920.0,1040.14,1038.31,1039.74
1041.25,1768501980.0,1041.3,1038.48,1038.49
1038.98,1768502040.0,1041.39,1038.51,1041.28
1040.81,1768502100.0,1040.81,1038.52,1038.68
1039.45,1768502160.0,1040.81,1039.17,1040.71
1037.82,1768502220.0,1040.23,1037.41,1039.25
1040.4,1768502280.0,1040.43,1037.77,1038.12
1038.11,1768502340.0,1040.73,1038.11,1040.12
1039.33,1768502400.0,1039.45,1037.39,1038.06
1039.22,1768502460.0,1039.83,1037.93,1039.26
1040.82,1768502520.0,1041.18,1039.28,1039.28
1041.48,1768502580.0,1041.92,1040.86,1040.86
1043.09,1768502640.0,1044.13,1041.07,1041.21
1043.34,1768502700.0,1043.56,1042.5,1043.34
1041.03,1768502760.0,1043.8,1040.74,1043.3
1041.25,1768502820.0,1041.94,1041.04,1041.19
1040.84,1768502880.0,1041.73,1040.12,1041.28
1040.76,1768502940.0,1041.48,1040.07,1040.44
1041.63,1768503000.0,1041.76,1040.14,1041.18
1039.42,1768503060.0,1042.2,1039.03,1041.54
1040.06,1768503120.0,1040.87,1038.11,1039.24
1040.43,1768503180.0,1041.15,1040.05,1040.29
1041.93,1768503240.0,1041.99,1040.13,1040.55
1043.61,1768503300.0,1044.04,1041.6,1041.86
1046.45,1768503360.0,1046.45,1043.36,1043.36
1043.64,1768503420.0,1046.32,1043.43,1046.32
1045.98,1768503480.0,1046.2,1043.99,1043.99
1045.54,1768503540.0,1046.95,1045.39,1046.34
1043.69,1768503600.0,1046.47,1043.69,1045.68
1043.45,1768503660.0,1043.94,1041.95,1043.84
1044.08,1768503720.0,1044.58,1042.46,1043.67
1040.37,1768503780.0,1043.84,1040.13,1043.84
1038.41,1768503840.0,1040.34,1037.85,1040.33
1040.34,1768503900.0,1040.49,1038.43,1038.43
1040.33,1768503960.0,1040.95,1039.73,1039.98
1040.83,1768504020.0,1041.31,1040.02,1040.4
1041.45,1768504080.0,1042.73,1040.53,1040.72
1042.6,1768504140.0,1043.11,1041.24,1041.38
1041.86,1768504200.0,1043.14,1041.82,1042.72
1042.04,1768504260.0,1043.28,1040.59,1041.68
1042.86,1768504320.0,1043.27,1041.71,1041.81
1042.58,1768504380.0,1042.88,1040.73,1042.31
1042.28,1768504440.0,1043.28,1041.12,1042.82
1040.79,1768504500.0,1042.21,1040.55,1042.21
1041.96,1768504560.0,1041.96,1039.62,1040.76
1041.68,1768504620.0,1044.4,1041.68,1042.32
1042.18,1768504680.0,1043.0,1041.46,1042.07
1044.78,1768504740.0,1045.14,1042.16,1042.16
1047.95,1768504800.0,1048.16,1045.12,1045.22
1048.79,1768504860.0,1048.91,1046.75,1048.21
1047.59,1768504920.0,1048.56,1046.17,1048.56
1047.42,1768504980.0,1048.98,1046.05,1047.56
1048.22,1768505040.0,1048.37,1047.2,1047.43
1050.47,1768505100.0,1051.65,1048.44,1048.44
1048.81,1768505160.0,1050.78,1048.14,1050.35
1047.85,1768505220.0,1049.58,1047.76,1049.19
1047.46,1768505280.0,1049.14,1047.26,1047.67
1049.49,1768505340.0,1049.82,1046.99,1047.52
1048.53,1768505400.0,1049.5,1047.89,1049.5
1047.42,1768505460.0,1048.48,1046.84,1048.42
1047.23,1768505520.0,1048.3,1046.89,1047.22
1047.1,1768505580.0,1048.41,1046.23,1047.16
1047.39,1768505640.0,1049.05,1046.76,1046.76
1047.01,1768505700.0,1048.33,1046.59,1047.38
1046.49,1768505760.0,1047.87,1045.95,1047.01
1044.23,1768505820.0,1046.59,1043.26,1046.39
1041.78,1768505880.0,1043.96,1041.18,1043.95
1039.82,1768505940.0,1042.29,1039.82,1042.02
1039.1,1768506000.0,1039.83,1038.57,1039.83
1039.68,1768506060.0,1040.49,1038.54,1039.02
1037.78,1768506120.0,1040.08,1036.91,1039.65
1038.48,1768506180.0,1039.2,1037.53,1037.67
1036.82,1768506240.0,1038.24,1036.51,1038.24
